"Category","Count","proportion_goev"
"no_annote",195082,0.47055900621118
"S",63728,0.153718868720979
"K",18107,0.043676053790026
"M",13801,0.033289513357052
"E",13697,0.033038654043297
"J",12889,0.031089670144124
"L",12187,0.029396369776277
"C",10206,0.024617982271001
"O",9507,0.022931918229512
"I",8296,0.020010854489538
"Q",8285,0.01998432129289
"H",8209,0.019801001025146
"A",8113,0.01956943858168
"T",7280,0.017560151962854
"D",6020,0.01452089489236
"V",4543,0.010958210215281
"F",4183,0.010089851052283
"B",2787,0.006722547186878
"U",2194,0.005292166676717
"P",1680,0.004052342760659
"G",1622,0.003912440451064
"Z",1458,0.003516854610143
"no_annote",,0.001690888259061
